nombre,nombre_generico,grupo,para_que_sirve,precauciones,efectos_frecuentes,cuando_consultar,nivel_riesgo,fuente_base,url_fuente,fecha_revision,nivel_confianza,pais_contexto
Insulina NPH,Insulina isofánica (NPH),Antidiabético (insulina),Reemplaza o complementa la insulina en diabetes tipo 1 y tipo 2 cuando otros medicamentos no son suficientes.,Conservar en refrigerador. Rotar los sitios de inyección. Nunca saltarse comidas tras la inyección. Ajuste de dosis solo con indicación médica.,"Hipoglucemia, reacción en sitio de inyección, aumento de peso.","Si tiene sudoración fría, confusión, temblores o pérdida de conocimiento (hipoglucemia), ingerir azúcar y consultar urgente.",alto,curada_local_v1,,2026-04-05,revision_inicial,LAT
Atorvastatina,Atorvastatina,Hipolipemiante (estatina),Reduce el colesterol LDL y triglicéridos. Disminuye el riesgo de infartos y ACV.,Tomar a la misma hora. Avisar si aparece dolor muscular intenso. Evitar consumo excesivo de alcohol.,"Dolor muscular leve, molestias digestivas. Raramente: daño muscular grave (miopatía).","Si tiene dolor muscular intenso, orina oscura o coloración amarilla en piel.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Rosuvastatina,Rosuvastatina,Hipolipemiante (estatina),Reduce de forma potente el colesterol LDL. Usado cuando atorvastatina no es suficiente.,No tomar con antiácidos de aluminio/magnesio al mismo tiempo. Avisar si aparece dolor muscular.,"Dolor muscular, cefalea, molestias abdominales.","Si presenta dolor muscular intenso o debilidad generalizada, orina de color marrón.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Simvastatina,Simvastatina,Hipolipemiante (estatina),Reduce el colesterol LDL. Disminuye el riesgo cardiovascular.,Evitar con jugo de pomelo/toronja. Interacciones importantes con varios medicamentos. Informar al médico todos los medicamentos que toma.,"Dolor muscular, trastornos digestivos. Raramente: daño muscular grave.","Si tiene dolor muscular intenso o debilidad, orina oscura.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Losartán,Losartán potásico,Antihipertensivo (ARA II),Baja la presión arterial y protege los riñones en personas con diabetes o hipertensión.,No tomar en embarazo. Controlar el potasio. No suspender de forma abrupta.,"Mareos al levantarse, cansancio. Poco frecuente: aumento del potasio.","Si tiene potasio muy alto (calambres, debilidad), presión muy baja o edema generalizado.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Valsartán,Valsartán,Antihipertensivo (ARA II),Reduce la presión arterial y protege el corazón en insuficiencia cardíaca.,No tomar en embarazo. Monitorear la función renal y el potasio. No suspender sin indicación médica.,"Mareos, hipotensión al levantarse. Puede elevar el potasio.","Si tiene mareos intensos al ponerse de pie, debilidad muscular o irregularidades cardíacas.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Enalapril,Enalapril maleato,Antihipertensivo (IECA),Reduce la presión arterial y protege el corazón y los riñones.,No tomar en embarazo. Puede causar tos seca. No suspender de forma abrupta.,"Tos seca persistente, mareos, cansancio. Rara vez: hinchazón de labios o garganta.","Si presenta hinchazón de cara, labios o lengua (angioedema) o dificultad para respirar, es urgente.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Ramipril,Ramipril,Antihipertensivo (IECA),Reduce la presión arterial y protege el corazón tras un infarto o en insuficiencia cardíaca.,No tomar en embarazo. Puede causar tos seca. Controlar la función renal y el potasio.,"Tos seca, mareos, cansancio, hipotensión.","Si presenta angioedema (hinchazón de cara o garganta), hipotensión severa o deterioro de función renal.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Amlodipino,Amlodipino besilato,Antihipertensivo (bloqueador de calcio),Baja la presión arterial y trata la angina de pecho.,No suspender de forma abrupta. Puede causar hinchazón en tobillos.,"Hinchazón de tobillos, rubor facial, palpitaciones. Raramente: dolor de cabeza.","Si tiene hinchazón muy marcada en piernas, dolor en el pecho o palpitaciones intensas.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Nifedipino,Nifedipino,Antihipertensivo (bloqueador de calcio),Reduce la presión arterial y trata la angina. La versión de liberación prolongada se usa de manera habitual.,No masticar ni partir la tableta de liberación prolongada. No tomar con jugo de pomelo/toronja. No suspender bruscamente.,"Rubor facial, dolor de cabeza, mareos, hinchazón de tobillos.","Si tiene palpitaciones intensas, dolor de pecho en reposo o mareos severos al ponerse de pie.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Hidroclorotiazida,Hidroclorotiazida,Diurético (tiazida),Reduce la presión arterial y elimina el exceso de líquido.,Tomar en la mañana. Puede reducir el potasio: consumir alimentos ricos en potasio. Protegerse del sol.,"Orinar con más frecuencia, debilidad muscular, mareos.","Si tiene calambres musculares intensos, arritmias cardíacas, mareos graves al ponerse de pie.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Furosemida,Furosemida,Diurético (asa),Elimina el exceso de líquido del cuerpo. Muy usado en insuficiencia cardíaca y cirrosis hepática.,Tomar en la mañana. Puede causar pérdida de potasio: consumir alimentos ricos en potasio. Monitorear la función renal.,"Micción aumentada, calambres, mareos, deshidratación si se excede.","Si tiene debilidad muscular intensa, calambres, latidos irregulares o signos de deshidratación.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Espironolactona,Espironolactona,Diurético (ahorrador de potasio),"Elimina líquido reteniendo potasio. Usado en insuficiencia cardíaca, cirrosis y algunos casos de hipertensión.",Puede elevar el potasio: evitar consumo excesivo de alimentos ricos en potasio o suplementos de potasio. Controlar función renal.,"Hiperpotasemia (potasio alto), mareos, aumento del tamaño de las mamas en hombres.","Si tiene debilidad muscular, latidos irregulares, entumecimiento o hormigueo (potasio alto).",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Bisoprolol,Bisoprolol fumarato,Betabloqueador,"Controla la presión arterial, la frecuencia cardíaca y protege el corazón en insuficiencia cardíaca.",No suspender de forma abrupta. Precaución en asma o EPOC. Puede enmascarar hipoglucemia en diabéticos.,"Cansancio, manos y pies fríos, mareos. Puede reducir la frecuencia cardíaca.","Si tiene disnea (dificultad para respirar), frecuencia cardíaca muy baja, mareos intensos o sibilancias.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Carvedilol,Carvedilol,Betabloqueador (no selectivo),Trata la insuficiencia cardíaca y la hipertensión. Combina efecto betabloqueador y vasodilatador.,No suspender de forma abrupta. Precaución en asma o EPOC grave. Tomar con alimentos para reducir mareos.,"Mareos, cansancio, hipotensión, bradicardia (latidos lentos).","Si tiene dificultad intensa para respirar, latidos muy lentos o desmayos.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Metoprolol,Metoprolol succinato/tartrato,Betabloqueador,"Controla la presión arterial, la frecuencia cardíaca y protege el corazón post-infarto.",No suspender de forma abrupta. Precaución en asma o EPOC. Puede enmascarar síntomas de hipoglucemia.,"Cansancio, manos y pies fríos, mareos, latidos lentos en reposo.","Si tiene dificultad para respirar, frecuencia cardíaca menor a 50 latidos/min o desmayos.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Digoxina,Digoxina,Glucósido cardíaco,Controla la frecuencia cardíaca en fibrilación auricular y trata la insuficiencia cardíaca.,"Rango terapéutico muy estrecho: niveles bajos no funcionan, niveles altos son tóxicos. No alterar la dosis sin indicación médica. Controles periódicos de potasio y función renal.","Náuseas, vómitos, visión borrosa o con halo amarillo/verde, bradicardia.","Si tiene náuseas y vómitos persistentes, visión amarilla o con halos, latidos muy lentos o irregulares: es urgente.",alto,curada_local_v1,,2026-04-05,revision_inicial,LAT
Warfarina,Warfarina sódica,Anticoagulante,"Previene la formación de coágulos en fibrilación auricular, válvulas cardíacas artificiales o trombosis.",Requiere controles regulares de INR. Interacciona con muchos alimentos y medicamentos. No alterar la dieta habitual de vitamina K sin consultar al médico.,"Tendencia al sangrado, hematomas fáciles. Riesgo de sangrado grave si el INR es muy alto.","Si tiene sangrado que no se detiene, sangre en orina u heces, vómitos con sangre, o dolor de cabeza intenso y súbito.",alto,curada_local_v1,,2026-04-05,revision_inicial,LAT
Clopidogrel,Clopidogrel bisulfato,Antiagregante plaquetario,"Previene la formación de coágulos en arterias. Usado tras infarto, ACV o colocación de stents coronarios.",No suspender sin consultar al médico (riesgo de trombosis del stent). Avisar a todo profesional de salud que lo recete.,"Hematomas fáciles, hemorragia prolongada ante cortes o procedimientos.","Si tiene sangrado gastrointestinal (heces negras), hematuria, o sangrado que no cesa.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Omeprazol,Omeprazol,Gastroprotector (IBP),"Reduce el ácido gástrico. Trata úlceras, reflujo y protege el estómago en quienes toman AINEs.",No usar por períodos prolongados sin indicación. Tomar 30 minutos antes del desayuno. Puede reducir absorción de vitamina B12 y magnesio a largo plazo.,"Dolor de cabeza, náuseas, diarrea o estreñimiento. Son poco frecuentes.","Si tiene dificultad para tragar, vómitos persistentes, pérdida de peso inexplicada o heces negras.",bajo,curada_local_v1,,2026-04-05,revision_inicial,LAT
Pantoprazol,Pantoprazol sódico,Gastroprotector (IBP),"Reduce el ácido gástrico. Trata esofagitis erosiva, reflujo gastroesofágico y úlceras.",Igual al omeprazol: no usar prolongadamente sin indicación. Tomar en ayunas o con poca comida.,"Diarrea, dolor de cabeza, flatulencia. Raramente: hipomagnesemia con uso crónico.","Si hay vómitos de sangre, heces negras, dolor abdominal intenso o dificultad para tragar.",bajo,curada_local_v1,,2026-04-05,revision_inicial,LAT
Famotidina,Famotidina,Gastroprotector (bloqueador H2),Reduce la acidez gástrica y alivia el ardor. Útil en reflujo leve y úlceras pépticas.,"Ajustar dosis en insuficiencia renal. Para acidez ocasional, no usar más de 2 semanas sin consultar.","Dolor de cabeza, mareos, estreñimiento. Generalmente bien tolerado.","Si los síntomas de reflujo no mejoran, o tiene dificultad para tragar y pérdida de peso.",bajo,curada_local_v1,,2026-04-05,revision_inicial,LAT
Metoclopramida,Metoclopramida,Procinético / Antiemético,"Controla las náuseas, vómitos y acelera el vaciado gástrico. Usado en gastroparesia y náuseas post-quimioterapia.",No usar por períodos prolongados. Puede causar movimientos involuntarios (discinesia tardía). Precaución en enfermedad de Parkinson.,"Somnolencia, diarrea, movimientos involuntarios con uso prolongado.","Si presenta movimientos involuntarios de la lengua, cara o extremidades, suspender y consultar.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Domperidona,Domperidona,Procinético / Antiemético,"Reduce náuseas, vómitos y sensación de llenura. Ayuda a vaciar el estómago más rápido.",No superar la dosis indicada. Puede prolongar el intervalo QT en personas con riesgo cardíaco.,"Sequedad de boca, diarrea, dolor abdominal. Raramente: galactorrea.","Si presenta palpitaciones, desmayos o ritmo cardíaco irregular.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Loperamida,Loperamida,Antidiarreico,"Reduce la frecuencia de las deposiciones en diarrea aguda, aliviando los síntomas.","No usar en diarrea con fiebre alta, sangre o mucus en heces. No usar más de 2 días sin consultar. No en menores de 12 años sin indicación pediátrica.","Estreñimiento, dolor abdominal, mareos.","Si la diarrea persiste más de 2 días, hay fiebre alta, sangre en heces o distensión abdominal intensa.",bajo,curada_local_v1,,2026-04-05,revision_inicial,LAT
Mesalazina,Mesalazina,Antiinflamatorio intestinal,"Trata la enfermedad inflamatoria intestinal (colitis ulcerosa, enfermedad de Crohn) manteniendo la remisión.",Controles regulares de función renal. Avisar si hay alergia al ácido acetilsalicílico.,"Dolor abdominal, diarrea, náuseas, dolor de cabeza.","Si presenta diarrea con sangre, fiebre, dolores articulares o empeoramiento de síntomas.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Salbutamol,Salbutamol (albuterol),Broncodilatador (beta-2 agonista),Revierte el broncoespasmo en asma y EPOC. Es el 'inhalador de rescate' para crisis agudas.,"Usar solo cuando sea necesario (no diariamente de forma crónica sin indicación). Si se usa más de 2 veces por semana, consultar al médico.","Palpitaciones, temblor de manos, nerviosismo. Con uso excesivo: tolerancia y empeoramiento.","Si necesita usarlo más de 2-3 veces por día, si la crisis no cede con el inhalador, o si tiene dificultad para hablar.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Budesonida,Budesonida,Corticosteroide inhalado,"Reduce la inflamación de las vías respiratorias en asma y EPOC. Es un tratamiento preventivo, no para crisis agudas.",Enjuagarse la boca después de cada uso para prevenir hongos. No suspender de forma abrupta. Puede tardar días en hacer efecto completo.,"Irritación de garganta, tos, candidiasis oral.","Si tiene infección oral (placas blancas), fiebre, dificultad para respirar que empeora.",bajo,curada_local_v1,,2026-04-05,revision_inicial,LAT
Montelukast,Montelukast sódico,Antiasmático (antileucotrieno),Previene síntomas de asma y rinitis alérgica. Se toma diariamente de forma preventiva.,Tomar por la noche. No reemplaza al inhalador de rescate en crisis agudas. Se han reportado cambios de ánimo o sueños anormales.,"Dolor de cabeza, malestar abdominal, insomnio. Raramente: cambios de humor o pensamientos inusuales.","Si nota cambios de conducta, agitación, pensamientos suicidas o agravamiento del asma.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Loratadina,Loratadina,Antihistamínico (2ª generación),"Alivia síntomas de alergia: picazón, estornudos, rinitis y urticaria. No produce somnolencia en la mayoría.",Precaución en insuficiencia hepática. Puede causar algo de somnolencia en personas sensibles.,"Sequedad de boca, dolor de cabeza, cansancio leve.","Si tiene urticaria generalizada con hinchazón de cara o garganta, o dificultad para respirar.",bajo,curada_local_v1,,2026-04-05,revision_inicial,LAT
Cetirizina,Cetirizina,Antihistamínico (2ª generación),"Alivia rinitis alérgica, urticaria y picazón. Puede causar algo más de somnolencia que la loratadina.",Precaución en conductores de vehículos. Ajustar dosis en insuficiencia renal.,"Somnolencia, sequedad de boca, mareos.","Si hay reacción alérgica grave con hinchazón de cara, garganta o dificultad para respirar.",bajo,curada_local_v1,,2026-04-05,revision_inicial,LAT
Fexofenadina,Fexofenadina,Antihistamínico (2ª generación),Alivia síntomas de rinitis alérgica y urticaria. Muy baja somnolencia.,"No tomar con jugo de naranja, manzana o pomelo (reduce la absorción). Precaución en insuficiencia renal.","Dolor de cabeza, náuseas, mareos. Raramente: somnolencia.",Si tiene reacción alérgica severa o síntomas que no mejoran.,bajo,curada_local_v1,,2026-04-05,revision_inicial,LAT
Prednisona,Prednisona,Corticosteroide,"Reduce inflamación e inhibe el sistema inmune. Usado en alergias graves, asma, enfermedades autoinmunes.","No suspender de forma abrupta en tratamientos largos. Puede aumentar el azúcar, la presión arterial y debilitar los huesos. Tomar con alimentos.","Aumento del apetito, retención de líquidos, insomnio, irritabilidad.","Si tiene fiebre sin causa aparente, dolor intenso en cadera o hombro (necrosis avascular) o niveles de azúcar muy altos.",alto,curada_local_v1,,2026-04-05,revision_inicial,LAT
Metilprednisolona,Metilprednisolona,Corticosteroide,"Reduce la inflamación. Se usa en exacerbaciones de enfermedades autoinmunes, reacciones alérgicas graves y trasplantes.",No suspender de forma abrupta. Mayor potencia que prednisona: seguir exactamente la dosis indicada.,"Similar a prednisona: aumento de apetito, insomnio, aumento del azúcar, retención de líquidos.","Si tiene fiebre sin explicación, dolor de huesos, visión borrosa o aumento súbito de azúcar.",alto,curada_local_v1,,2026-04-05,revision_inicial,LAT
Dexametasona,Dexametasona,Corticosteroide (potente),"Corticoide potente usado en edema cerebral, inflamación grave, vómitos por quimioterapia y crup.",No suspender sin indicación médica. Puede enmascarar infecciones. Mayor riesgo de efectos sistémicos que prednisona.,Similar a prednisona pero más intensos. Puede causar hiperglucemia marcada.,"Si presenta signos de infección grave (fiebre, pus), azúcar muy alta o comportamiento inusual.",alto,curada_local_v1,,2026-04-05,revision_inicial,LAT
Sertralina,Sertralina,Antidepresivo (ISRS),"Trata la depresión, trastorno de pánico, ansiedad social y TOC. Tarda 2-4 semanas en hacer efecto.",No suspender de forma abrupta. Al inicio puede aumentar la ansiedad o el insomnio transitoriamente. Precaución en menores.,"Náuseas, insomnio, disfunción sexual, diarrea al inicio. Suelen mejorar.","Si tiene pensamientos de hacerse daño, agitación extrema o síndrome serotoninérgico (confusión, fiebre, temblores).",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Escitalopram,Escitalopram oxalato,Antidepresivo (ISRS),Trata la depresión y el trastorno de ansiedad generalizada. Buena tolerabilidad.,No suspender de forma abrupta. Puede prolongar el QT: precaución con otros medicamentos cardíacos. Precaución en menores.,"Náuseas, insomnio, somnolencia, disfunción sexual.","Si tiene pensamientos suicidas, agitación extrema, palpitaciones irregulares o síndrome serotoninérgico.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Fluoxetina,Fluoxetina,Antidepresivo (ISRS),"Trata la depresión, bulimia nerviosa, TOC y trastorno disfórico premenstrual.",Vida media larga: los efectos persisten semanas. Muchas interacciones farmacológicas. No suspender de forma abrupta.,"Náuseas, insomnio, nerviosismo, disfunción sexual. Puede suprimir el apetito.","Si tiene pensamientos suicidas, agitación intensa, fiebre con temblores (síndrome serotoninérgico).",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Amitriptilina,Amitriptilina,Antidepresivo (tricíclico) / Analgésico,"Trata la depresión, el dolor neuropático crónico, la fibromialgia y la migraña profiláctica.",Puede causar somnolencia intensa: tomar de noche. Precaución en mayores (riesgo de caídas). Tóxico en sobredosis.,"Somnolencia, sequedad de boca, estreñimiento, visión borrosa, retención urinaria.","Si tiene palpitaciones irregulares, dificultad extrema para orinar o pensamientos suicidas.",alto,curada_local_v1,,2026-04-05,revision_inicial,LAT
Alprazolam,Alprazolam,Ansiolítico (benzodiazepina),Trata la ansiedad aguda y los ataques de pánico. Es un medicamento de uso a corto plazo.,Alto riesgo de dependencia con uso prolongado. No combinar con alcohol. No manejar. No suspender de forma abrupta.,"Somnolencia, mareos, deterioro de la memoria y la coordinación.","Si tiene dificultad para respirar, confusión intensa, caídas o pensamientos de hacerse daño.",alto,curada_local_v1,,2026-04-05,revision_inicial,LAT
Clonazepam,Clonazepam,Ansiolítico / Antiepiléptico (benzodiazepina),"Controla crisis epilépticas, reduce la ansiedad y los ataques de pánico.",Puede generar dependencia. No manejar ni operar maquinaria. Evitar alcohol. No suspender de forma abrupta.,"Somnolencia, mareos, lentitud, dificultad para concentrarse.","Si tiene convulsiones al intentar dejar el medicamento, dificultad para respirar o confusión grave.",alto,curada_local_v1,,2026-04-05,revision_inicial,LAT
